Date,CN,Sales
1/3/2017,213128,15.5
1/3/2017,213129,28252.8
1/3/2017,213130,40176
1/3/2017,213131,260000
1/3/2017,213132,150000
1/3/2017,213133,14933.32
1/3/2017,213134,93600
1/3/2017,213135,53586
1/3/2017,213136,5745.04
1/3/2017,213137,1900
1/3/2017,213138,84960
1/3/2017,213139,399088
1/3/2017,213140,2500
1/3/2017,213141,2332.8
1/3/2017,213142,289091.2
1/3/2017,213143,10920
1/3/2017,213144,175881.6
1/3/2017,213145,184161.6
1/3/2017,213146,24670
1/3/2017,213147,16804.8
1/3/2017,213148,57830.4
1/3/2017,213149,4961.5
1/3/2017,213150,12839.1
1/3/2017,213151,15984.2
1/3/2017,213152,1368
1/3/2017,213153,104131.2
1/3/2017,213154,32627.5
1/3/2017,213155,7050
1/3/2017,213156,164283.6
1/3/2017,213157,85800
1/3/2017,213158,154676
1/3/2017,213159,5268.5
1/3/2017,213160,48144
1/3/2017,213161,204
1/3/2017,213162,149534.8
1/3/2017,213163,8668
1/3/2017,213164,18792
1/3/2017,213165,10490.88
1/3/2017,213166,3008.6
1/3/2017,213167,276.85
1/3/2017,213168,75736.32
1/3/2017,213169,4480
1/3/2017,213170,3545.6
1/3/2017,213171,950
1/3/2017,213172,26956.28
1/3/2017,213173,9720
1/3/2017,213174,3986.5
1/3/2017,213175,106
1/3/2017,213176,10020.5
1/3/2017,213177,86400
1/3/2017,213178,92160
1/3/2017,213179,203097
1/3/2017,213180,38
1/3/2017,213181,4510
1/4/2017,213182,1039.15
1/4/2017,213183,114
1/4/2017,213184,705.12
1/4/2017,213185,23100
1/4/2017,213186,302400
1/4/2017,213187,1670.4
1/4/2017,213188,422942.4
1/4/2017,213189,244790
1/4/2017,213190,74215.5
1/4/2017,213191,12074.4
1/4/2017,213192,9653.9
1/4/2017,213193,1050
1/4/2017,213194,142
1/4/2017,213195,2592
1/4/2017,213196,8300
1/4/2017,213197,110660.8
1/4/2017,213198,9119
1/4/2017,213199,54882
1/4/2017,213200,176.25
1/4/2017,213201,494.4
1/4/2017,213202,951
1/4/2017,213203,65000
1/4/2017,213204,231104
1/4/2017,213205,2169.25
1/4/2017,213206,1495.8
1/4/2017,213207,9250
1/4/2017,213208,416108
1/4/2017,213209,135.87
1/4/2017,213210,33.5
1/4/2017,213211,25888
1/4/2017,213212,3850
1/4/2017,213213,24789.6
1/4/2017,213214,18479.04
1/4/2017,213215,37280.5
1/4/2017,213216,264.68
1/4/2017,213217,31219
1/4/2017,213218,9350.4
1/4/2017,213219,37928.44
1/4/2017,213220,3024
1/4/2017,213221,140760
1/4/2017,213222,350552
1/4/2017,213223,58632
1/4/2017,213224,43505
1/4/2017,213225,7535
1/4/2017,213226,4959.2
1/4/2017,213227,1281
1/4/2017,213228,42000
1/4/2017,213229,386771
1/4/2017,213230,167256
1/4/2017,213231,62697.6
1/4/2017,213232,2820
1/4/2017,213233,42989.76
1/4/2017,213234,11889.6
1/4/2017,213235,50661.8
1/4/2017,213236,58268.7
1/4/2017,213237,25726
1/4/2017,213238,33109.72
1/4/2017,213239,19152
1/4/2017,213240,151760
1/5/2017,213241,166579
1/5/2017,213242,8800
1/5/2017,213243,2289
1/5/2017,213244,1370.52
1/5/2017,213245,3886.4
1/5/2017,213246,3402.5
1/5/2017,213247,14887.1
1/5/2017,213248,43929.2
1/5/2017,213249,53227.12
1/5/2017,213250,70.8
1/5/2017,213251,2845.44
1/5/2017,213252,9556.4
1/5/2017,213253,7919
1/5/2017,213254,15380
1/5/2017,213255,355900
1/5/2017,213256,17202.12
1/5/2017,213257,178260
1/5/2017,213258,4056.72
1/5/2017,213259,46
1/5/2017,213260,228
1/5/2017,213261,91
1/5/2017,213262,138240
1/5/2017,213263,6193.6
1/5/2017,213264,512.1
1/5/2017,213265,76
1/5/2017,213266,10143.6
1/5/2017,213267,2250
1/5/2017,213268,2160
1/5/2017,213269,690.7
1/5/2017,213270,76
1/5/2017,213271,23625
1/5/2017,213272,16146.72
1/5/2017,213273,854998.2
1/5/2017,213274,10050
1/5/2017,213275,3589.38
1/5/2017,213276,1905.76
1/5/2017,213277,3059.8
1/5/2017,213278,61.5
1/5/2017,213279,402178.4
1/5/2017,213280,249340
1/5/2017,213281,4710
1/5/2017,213282,5856.8
1/5/2017,213283,893
1/5/2017,213284,2580
1/5/2017,213285,121398.8
1/5/2017,213286,79550
1/5/2017,213287,77961
1/5/2017,213288,675
1/5/2017,213289,4800
1/5/2017,213290,1310
1/5/2017,213291,153316
1/5/2017,213292,105337.92
1/5/2017,213293,44252
1/5/2017,213294,20181.84
1/5/2017,213295,26843
1/5/2017,213296,8480.6
1/5/2017,213297,12662.4
1/5/2017,213298,1300
1/5/2017,213299,15637.6
1/5/2017,213300,126694
1/5/2017,213301,4300
1/5/2017,213302,413.04
1/5/2017,213303,235554.72
1/5/2017,213304,26668
1/5/2017,213305,486
1/5/2017,213306,2916
1/5/2017,213307,2246.5
1/5/2017,213308,5805.5
1/5/2017,213309,2823
1/5/2017,213310,74704
1/5/2017,213311,4328.64
1/5/2017,213312,42664.32
1/5/2017,213313,9600
1/5/2017,213314,7905
1/6/2017,213315,635
1/6/2017,213316,1300
1/6/2017,213317,353720
1/6/2017,213319,44000
1/6/2017,213320,101438
1/6/2017,213321,176985.2
1/6/2017,213322,13392
1/6/2017,213323,33000
1/6/2017,213324,41865
1/6/2017,213325,10192
1/6/2017,213326,13296
1/6/2017,213327,49800
1/6/2017,213328,85349.61
1/6/2017,213329,67186.42
1/6/2017,213330,61430.92
1/6/2017,213331,116.4
1/6/2017,213332,20803.2
1/6/2017,213333,25992
1/6/2017,213334,1468.8
1/6/2017,213335,5400
1/6/2017,213336,81870.66
1/6/2017,213337,51893.68
1/6/2017,213338,7387
1/6/2017,213339,11592
1/6/2017,213340,80652.56
1/6/2017,213341,46270.6
1/6/2017,213342,16087.5
1/6/2017,213343,10806.4
1/6/2017,213344,71002.92
1/6/2017,213345,131540
1/6/2017,213346,7180
1/6/2017,213347,1220
1/6/2017,213348,661593.6
1/6/2017,213349,67976
1/6/2017,213350,23947.2
1/6/2017,213351,15175
1/6/2017,213352,1746
1/6/2017,213353,343796.8
1/6/2017,213354,26496
1/6/2017,213355,375
1/6/2017,213356,456
1/6/2017,213357,72084
1/6/2017,213358,45634.08
1/6/2017,213359,7100
1/6/2017,213360,4530
1/6/2017,213361,380
1/6/2017,213362,30818.16
1/6/2017,213363,34102.6
1/6/2017,213364,89.3
1/6/2017,213365,186.5
1/6/2017,213366,6521.6
1/6/2017,213367,1300
1/6/2017,213368,3200
